organization_key,offer_internal_name,volume_type,volume_type1,volume_creation_date,nb_volumes,storage_size
1f0161ec-4cb6-4798-9917-42e495281c80,GP1-XS,l_ssd,utility disk,2022-11-01 00:00,8,"1117,58709"
db222214-da83-4696-8045-30162b542988,GP1-S,l_ssd,utility disk,2023-02-01 00:00,4,"1117,58709"
8690304a-bf31-465d-b11e-bb6d70f5d8c0,GP1-M,l_ssd,utility disk,2023-01-01 00:00,2,"1117,58709"
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,l_ssd,utility disk,2022-05-01 00:00,4,"1117,58709"
a7ec9296-de32-44d3-9f95-611cd8ee8e20,GP1-M,l_ssd,utility disk,2021-06-01 00:00,2,"1117,58709"
636d58fa-5c10-4ccb-87fa-6e074234eb11,GP1-S,l_ssd,utility disk,2022-09-01 00:00,4,"1117,58709"
e5a089dd-a226-4276-80c3-1b139d938b99,DEV1-XL,l_ssd,utility disk,2023-02-01 00:00,10,"1117,58709"
7e33fd72-c649-47aa-8aa5-3d2ef9f59905,GP1-S,l_ssd,utility disk,2022-09-01 00:00,4,"1117,58709"
a7ec9296-de32-44d3-9f95-611cd8ee8e20,GP1-S,l_ssd,utility disk,2022-09-01 00:00,4,"1117,58709"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,l_ssd,utility disk,2021-10-01 00:00,8,"1117,58709"
db222214-da83-4696-8045-30162b542988,GP1-S,l_ssd,utility disk,2023-01-01 00:00,4,"1117,58709"
24529a2d-aa91-4e79-b54c-df166dacdf0d,GP1-S,l_ssd,utility disk,2022-11-01 00:00,4,"1117,58709"
bfeba32f-c7d3-4ef9-bfba-10b4dc2979a3,GP1-S,l_ssd,utility disk,2022-11-01 00:00,4,"1117,58709"
34f2a62d-d6dc-4b36-b42c-bd936b5dc0bd,DEV1-L,l_ssd,utility disk,2023-01-01 00:00,15,"1117,58709"
bfeba32f-c7d3-4ef9-bfba-10b4dc2979a3,GPU1P100,l_ssd,utility disk,2023-01-01 00:00,3,"1117,58709"
0e2f62b6-a0bb-4b2e-a332-1a14a7f3b66e,GP1-M,l_ssd,utility disk,2022-06-01 00:00,2,"1117,58709"
ca9c752c-3bbf-42cd-a0cf-ae1a39f41614,GP1-M,l_ssd,utility disk,2022-04-01 00:00,2,"1117,58709"
24529a2d-aa91-4e79-b54c-df166dacdf0d,GP1-S,l_ssd,utility disk,2022-09-01 00:00,4,"1117,58709"
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-S,l_ssd,utility disk,2023-02-01 00:00,4,"1117,58709"
f7476c34-4983-49fc-a148-5f3484ffc9e4,GP1-M,l_ssd,utility disk,2021-01-01 00:00,2,"1117,58709"
0e2f62b6-a0bb-4b2e-a332-1a14a7f3b66e,DEV1-XL,b_ssd,volume_storage,2022-06-01 00:00,4,1100
26fecc3d-3288-43fd-a6b3-a1eaacc34c70,GP1-M,b_ssd,volume_storage,2022-07-01 00:00,35,1096
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,b_ssd,volume_storage,2022-04-01 00:00,32,1078
4962e820-a16b-4ec8-8574-8b3fdacbf5b8,GP1-S,b_ssd,volume_storage,2022-12-01 00:00,5,1074
